Hectad,Tetrads
NG93,1
N63,2
TQ52,1
SN54,1
NN64,1
NR78,1
NN76,1
M45,1
SD37,1
G32,1
R69,2
NY68,3
N99,1
NM66,2
H60,1
V78,1
SJ01,1
M92,2
N43,2
NY26,2
N05,2
V87,3
N71,1
R17,2
NY81,1
NT45,1
H78,1
SD65,1
NR98,1
M04,1
NS73,2
N36,1
SN42,1
SD67,1
V98,6
NG42,3
ST11,1
N24,1
SN64,1
Q90,1
NC61,1
NN01,1
NM32,1
NJ73,1
N61,1
H36,1
N39,2
NT19,1
SZ08,3
H95,1
NY00,1
N60,1
SU01,1
NX65,1
TQ94,1
NY84,3
N80,1
TQ01,1
SU98,1
NO89,4
NN52,1
HU35,1
NM65,1
NU01,2
NM75,2
NH69,1
SN87,2
N52,1
NH10,1
H50,1
TG32,1
M36,2
M03,1
N87,1
SN79,3
M76,1
M26,1
N32,1
Q82,1
NY56,2
NN92,1
TQ53,1
NC23,1
NY98,1
NY15,1
M02,1
M87,1
NY93,1
M75,1
NC11,3
NS65,1
M54,1
NB31,2
NN50,1
M64,1
NS59,1
NY28,1
NY59,1
NR96,1
M55,1
NT80,2
NG24,2
ND15,2
H47,1
NR89,1
NT91,1
NT56,2
S39,1
H73,1
NT43,1
NR93,1
C71,1
N11,1
SJ91,1
F80,2
HY31,1
N40,1
NH11,1
NM46,1
NY53,3
G80,1
N12,2
NN68,1
H44,1
NO20,1
NT81,1
NH05,1
NG95,1
N41,1
S29,1
NH21,1
R21,1
NJ22,1
NC72,1
NN53,2
NG53,3
NM34,1
NG55,1
NC51,1
NC73,1
HP61,1
NR35,1
NS57,2
NN82,1
SX66,1
NX99,1
SH94,2
NM63,1
NH68,1
L64,1
NH12,1
NH58,1
NN77,1
NC10,1
NM53,3
NT21,1
SJ00,1
NJ42,1
NH73,1
M94,1
G50,1
NG65,4
NN34,1
NH25,1
G51,1
NJ84,1
NN35,1
SH83,2
NS21,1
M39,1
Q94,1
HU59,2
NR46,1
NH77,1
NT02,1
NN33,1
NS72,1
NG52,1
NM41,1
M69,1
NC91,1
NH78,1
G90,1
N89,1
NJ63,1
NX47,1
NC25,1
NG64,1
NB41,1
N28,1
G02,1
R04,1
SN82,1
NJ14,1
N75,1
NM96,1
M18,1
M96,1
ND01,1
NG85,1
M59,1
NH55,1
NC56,1
G40,2
R03,1
NX56,1
NR36,1
NC41,1
NH47,1
NC83,1
NJ91,1
SU41,2
ND37,1
NN24,1
NJ43,1
NN66,1
L66,1
NG15,1
L99,1
NX36,1
SD19,2
SE99,3
NX27,2
V88,1
NG73,3
NZ50,1
SE59,2
SU93,2
SH96,1
TQ16,1
NY46,2
SH61,1
NN80,2
SD44,1
NY07,1
HU28,1
W09,1
HU38,2
SD46,1
HU48,1
NM68,1
HU24,1
NM86,1
NX39,1
NN72,1
HU36,1
NN45,1
HU44,1
NX35,1
W08,2
SH23,1
HU47,1
HU45,1
NZ61,2
NN02,1
SU31,1
NT24,1
NY23,1
NN32,1
SH77,1
SE49,2
NX49,1
NX17,1
NR26,1
NY36,1
HU37,1
SJ04,1
NX26,2
SH74,1
V68,1
NZ80,2
NY94,1
SH85,1
