Hectad,Tetrads
SD59,1
NO18,5
NJ71,4
SJ28,1
NN52,3
NT14,5
SH38,4
SD09,2
NX05,1
SS64,7
NX78,2
NS66,8
NJ92,3
SD27,2
NM66,8
NS39,10
NO17,5
NC03,7
TL28,3
TQ28,1
NS82,3
D12,4
NT12,10
NZ27,1
L87,2
NT81,5
NY97,1
NM89,1
SO86,2
SJ39,3
NO78,2
NM67,8
NB01,3
NO04,3
NH53,2
NY82,8
NX47,2
NS37,11
SD19,5
SX98,1
SN76,13
SJ67,1
NN53,9
SX59,4
NN96,3
ST27,2
NU11,1
NO03,2
NY39,4
NR93,5
NT31,2
NS67,5
NN75,7
NN64,12
NT82,6
NY06,1
TQ11,2
NT23,2
HY31,3
NT35,2
NC14,7
H13,8
NN20,6
J10,2
NS27,12
SJ02,9
NT55,6
TQ06,1
NS36,17
NT11,13
NJ60,3
NN26,2
D24,1
HY20,3
NN15,13
NN40,3
NO36,4
SM92,6
NS54,7
NS97,12
NR61,6
D22,1
N39,3
NN05,12
NS80,3
NW96,3
NY16,1
SJ38,2
NH57,1
SX56,12
SD77,8
NO89,7
SU11,4
NB44,5
NS63,5
SK11,4
NO77,1
SD65,20
NY67,13
NG62,13
N23,3
SD88,5
F61,1
SU92,4
NG24,3
H12,5
NG42,11
NS88,4
NS45,12
NM95,6
W79,1
M02,1
SO53,1
SM91,1
N63,1
M13,3
NM88,6
SE31,1
TL81,2
ST40,1
NO35,3
NM94,11
SE74,1
NJ61,6
NN61,2
SE08,3
NS86,3
NO37,3
SJ96,6
SK35,3
M25,1
NT51,4
NM76,10
NC42,3
NT21,5
NN63,7
NS78,3
NM37,1
SK14,3
NT07,2
NJ62,2
NX76,2
NM81,6
NH84,4
Q70,3
H53,1
NT91,6
NT60,8
SN55,5
H44,2
TQ29,1
SO28,4
SH48,5
D30,1
G98,2
SW33,3
NM65,8
NY51,1
NJ83,3
SZ19,5
SO07,12
SH50,1
SU01,4
L86,4
NS95,2
NM77,4
SJ83,5
SN41,5
NR35,6
TM07,2
O08,3
NT66,8
NX04,1
NN91,1
NS50,3
H50,4
SE12,1
NO20,1
NM86,5
D21,6
SU71,1
TG22,1
SJ53,2
NT00,3
NT71,2
M46,1
SN24,3
NH10,2
SN68,10
NS71,1
M03,1
NY50,3
N66,1
D01,2
R68,1
TL10,1
SJ76,1
NH16,2
NO79,3
SS48,1
SJ84,6
NC32,4
NS69,2
ST44,1
F80,2
TL78,2
NZ24,1
J57,1
TG03,1
G78,1
M33,1
NS92,2
TL98,1
NY58,7
TL91,1
SO99,1
SO91,1
C61,3
NT01,6
NY19,5
J32,11
N82,1
H73,1
NN21,3
NT30,5
NY38,3
NT92,8
NM90,2
J33,3
SO04,8
SO38,3
TL30,1
TM45,1
S31,2
NR94,1
NS26,10
NS40,4
NS25,1
NG90,5
NS74,4
SP55,1
SJ01,10
NH40,6
NH20,4
NS03,3
H95,2
SU50,1
NO33,2
NY08,3
SP91,1
SD53,5
SX19,3
NX79,2
SK00,1
T18,1
NS20,3
NS15,1
B61,1
SX26,4
V47,1
SO14,7
L84,2
NC43,3
NS93,2
SJ51,4
B84,1
NS68,2
ST49,4
SS21,4
B92,1
NG86,4
SO29,2
SJ00,6
NZ18,1
SS84,1
NN31,5
J15,1
NS58,3
NY44,5
SJ25,3
NH02,10
TQ61,1
NS62,3
NS44,1
NM70,3
NH52,2
SJ60,6
TL56,1
NY18,3
NJ11,2
SJ95,7
T06,1
SJ24,3
W97,1
SW96,4
SD31,3
SD75,13
NS42,1
SE83,2
SH67,2
NB12,1
NN19,4
ST80,2
SC26,2
NR89,6
SK36,6
SO72,2
SX28,2
NN42,4
NT41,3
NY70,3
SD86,1
NX49,3
NB11,2
SN01,1
SH93,1
N40,1
NH80,5
Q50,1
SW64,2
NN09,2
SK57,1
NN49,2
NC30,3
NS85,2
NY21,5
SK68,2
SO92,1
SE20,2
NX19,2
NU01,3
F82,1
SK02,1
NS51,3
NH05,3
NU02,2
SO79,1
NS79,1
NC33,8
SM83,1
NH21,2
NT33,3
SM90,1
NM92,5
SU98,2
H17,4
TL92,2
SH83,4
SN11,2
NJ10,3
NH27,3
SE19,2
SD44,3
N61,1
NY09,2
NS61,2
NB32,1
TQ55,3
SH77,4
TL31,1
SJ47,1
SO27,2
N52,1
NG82,3
NG64,2
N22,2
N80,1
TQ34,1
SK17,4
SJ13,1
NY57,2
O01,4
S29,2
NX28,4
J25,1
NC44,3
SJ14,3
SO15,6
TQ78,1
NX97,4
SM82,3
SJ16,2
SX36,1
SK85,2
NH12,7
NY71,3
SE89,21
NO56,1
SD74,9
SD89,6
SW42,1
NS05,1
SK24,3
SE26,1
NT17,3
N72,1
NT85,1
NS72,2
NR75,4
NC15,1
SZ48,2
SJ34,1
TQ74,1
T28,1
NG73,5
NH01,10
SH76,7
NY48,6
NG30,12
NN69,4
NG91,7
NO47,4
NN17,6
NG40,3
SO09,7
TQ93,1
NM63,7
SO06,6
NG88,4
NC94,6
N00,1
TL00,1
NJ25,5
H57,3
NS99,3
NX58,3
NG92,3
NM57,1
NG14,1
NO76,1
M62,1
W24,1
NY54,1
H89,3
NG80,9
NJ15,2
H69,6
NN56,1
ST28,2
HU31,3
NO54,2
SD79,4
SE59,24
NN46,2
NN37,6
NG84,4
NM22,1
H06,4
J66,1
NA90,1
NJ20,4
SK26,2
SM93,10
T05,1
N49,2
NC55,4
NN13,1
SK12,1
SP92,1
NN88,3
NO46,1
C92,1
D11,2
SJ05,2
M67,1
C94,2
C72,1
NC93,5
NX77,2
SJ22,1
NA92,1
NF83,1
R82,2
SC37,2
NM49,6
C93,1
O02,2
NN79,3
NX96,2
TL60,2
D00,1
NB31,1
W69,2
NJ84,5
NS77,8
SJ31,1
NJ65,7
NF72,1
H41,2
SH53,4
NH70,2
NO57,2
SU31,2
NJ21,2
D03,1
TQ22,2
NJ23,3
NS91,6
W13,1
H58,4
G63,1
SU40,2
NN50,6
NS89,2
F93,1
NN36,4
SO42,1
NS04,3
V75,1
SO47,1
NC53,2
NM84,2
TR03,1
J11,3
C63,1
N46,1
ST64,1
NM72,3
NX48,4
C73,2
TL20,1
NG33,4
NR72,2
NF86,1
SD20,1
NJ24,2
NY52,1
SJ03,4
SO90,3
NG89,1
NS16,1
H45,1
NY12,3
NK02,1
NT44,2
T07,2
NN41,4
NX57,2
SH55,6
NX39,4
NN76,1
TQ38,2
H78,4
NR97,3
NO99,2
V88,5
NS56,2
J44,1
L74,1
H18,1
SO12,8
HU35,3
SH73,5
NS55,8
S01,1
SD30,2
N24,1
NJ52,2
B71,3
SJ36,1
H48,1
NX26,2
V98,12
NO15,1
NB40,1
NS90,4
NR49,1
NX38,3
NH03,2
NH65,2
SO89,1
NN34,2
H26,2
NR51,2
TQ27,1
H16,1
NC61,1
SX88,2
NJ45,5
SS78,3
T17,2
NX86,1
NJ73,3
L97,2
H54,7
H36,1
SX65,5
NH50,2
HU43,4
H66,2
NB33,1
NX55,2
H82,1
NN59,6
NN18,5
NX36,2
SJ40,4
J56,1
H07,1
SK23,1
J37,1
B80,1
SX55,2
NZ34,2
SX39,2
NM56,2
SD26,1
H83,3
H27,3
SX49,4
SN21,3
HU37,6
G96,3
M17,1
SU20,4
C40,2
SK89,2
NO39,1
NY45,2
S69,1
NJ50,3
R58,2
HU34,2
J45,4
T08,2
NT57,2
H60,2
NX45,3
NZ61,16
NX56,1
NG94,4
NT58,1
NT34,3
T16,4
NB02,2
NH28,4
NG41,6
SO24,1
NH71,1
NJ86,3
H49,1
SH46,1
NJ00,2
NH72,1
NN28,6
NM97,2
NC27,1
TQ03,2
HY10,2
NJ54,2
NO27,5
G31,3
NR57,2
G74,2
W05,3
SH87,2
R19,1
SH47,1
J27,3
HU26,1
NM55,6
NC65,2
NN51,2
NH61,2
NJ85,7
NH44,2
NN39,3
S21,1
H67,2
NM26,1
F70,3
O10,5
NK05,4
NS53,3
C02,1
HU45,4
ND05,1
NC31,2
NO41,2
NJ96,1
NB54,2
SO31,1
J34,4
SK21,2
NH18,1
H35,2
NJ95,3
V93,2
NJ33,1
H79,2
ND27,2
NO25,3
V96,3
NO65,1
ND19,1
NH25,2
NN82,1
NC74,3
NX37,4
ND17,1
ND01,2
NH55,1
NO55,1
G42,4
L78,2
NC91,3
NM48,8
G13,1
HU42,5
NB52,1
NC63,3
G21,1
C60,3
NC40,4
HU16,2
C70,3
SE69,23
NT42,2
NH66,1
NB45,3
J02,2
NB53,1
NJ26,3
NS21,1
HP60,2
Q81,1
NH74,2
TF19,1
NH88,1
L75,2
NJ42,3
NH23,2
NH42,1
HU59,6
NC26,3
G94,1
NC95,2
NM34,1
H91,3
R21,2
NN87,1
SH56,1
NG15,3
ND04,3
TL46,2
R92,1
NC84,1
M79,2
NN73,2
G52,2
NH85,2
TR13,1
Q92,1
HU38,3
NH58,4
NN43,5
NM41,3
NC73,3
NZ25,3
NC52,2
NN14,3
SH94,2
SH37,3
NH56,3
NG95,4
NH47,3
H43,2
HU58,5
NH68,4
SJ32,1
NH34,1
SJ15,2
NC75,2
NC85,3
G40,1
NC64,3
M39,2
NB30,1
N30,1
NN86,2
SJ23,1
F94,2
D04,2
M18,1
HU25,3
NM33,1
NH13,1
ND03,5
NH69,1
NM45,2
NJ53,1
NH89,2
G10,1
H68,4
SS81,1
NJ82,2
NR36,1
NZ42,1
HU69,2
SE49,12
NH94,7
NZ90,8
SE98,1
NM62,6
NM69,3
NZ71,14
NZ50,12
SE79,22
NZ60,21
SE99,9
SH57,3
NY49,2
NN32,3
NJ13,2
NM96,4
SE67,3
V77,1
SU77,1
NN89,1
SH23,3
G11,1
NZ80,15
NJ44,4
NG83,4
NC41,2
SE24,1
SU12,1
NN60,3
G01,2
HP61,3
ND02,5
NY23,1
SD42,1
M59,3
C50,2
NC92,3
G20,1
NM73,2
ND37,1
G00,1
G93,2
NC54,1
NH82,1
NS41,2
NM53,5
NT76,2
NZ40,2
R02,3
NY91,2
HU24,3
NJ30,2
NN66,1
NY62,2
SC17,1
NR26,2
HU54,4
SO69,1
NH04,3
NG70,3
G69,1
NN55,4
J29,2
W08,2
SH49,3
G33,1
HU53,2
TL18,1
SE66,3
SO88,1
HU47,3
TM01,1
NC72,2
NH29,1
NB34,1
NO42,1
NX25,1
HU56,3
NC45,2
NN45,1
M65,1
Q40,2
NR76,1
M50,1
M58,2
NZ51,7
NH73,2
SH33,2
SH84,2
NC83,3
NC46,1
L96,2
M19,1
HU36,2
NN74,1
J23,2
NN27,2
SJ52,3
Q91,2
G32,1
M29,1
G30,1
NX95,1
NC50,5
TQ59,1
HU48,2
NG55,3
M09,1
HU32,1
NJ74,1
NC62,3
M94,1
NH30,4
SS91,1
HP50,2
NF19,1
NH39,2
M95,1
NN44,4
NH78,3
NJ14,2
NO49,1
SU90,1
NO66,2
G50,2
SJ50,3
C82,1
NG19,2
NN83,4
NO48,4
NO38,1
NG63,1
NO26,1
NB55,3
SD21,1
NJ32,2
SY19,2
TQ68,1
H99,2
TQ33,4
C81,1
R49,1
C52,1
W15,3
NO69,1
HT93,2
SH96,1
W54,1
F91,3
W25,1
NO01,1
NJ63,3
NH43,2
C80,1
W06,2
S91,1
NC56,2
D23,1
NH38,3
M07,1
NH77,1
NL58,1
SS92,1
NH60,2
SX15,2
NR45,2
NN47,2
NR46,2
ND15,1
HY62,1
NG32,1
G02,1
NJ22,3
D02,1
M53,1
NG65,7
NM32,3
SK48,1
NY47,2
J48,1
SS72,1
NC90,1
C62,1
NY43,4
R05,1
N73,2
HU68,1
HY42,1
TQ18,1
N89,1
NM52,3
H59,2
NJ46,2
SK56,1
R20,1
NX87,1
NC37,2
NX33,1
G12,1
NX44,1
S20,2
HY50,1
NN48,3
HU46,3
Q82,1
NB22,1
NM31,1
R56,1
N04,1
NH26,2
G53,1
NS30,1
NH63,1
NT24,1
SM72,1
SK47,1
HU28,3
NF70,1
S99,1
SS31,2
TQ25,1
NZ70,21
SE47,1
NZ30,1
SY58,1
NC34,1
SE56,2
NR69,1
NT83,1
S98,1
NB56,1
NH95,3
TL22,1
N14,2
NS84,2
SH34,3
NR64,1
NX59,2
NN29,1
SJ42,1
ST17,2
SJ26,1
NH11,1
NG77,1
NG93,2
N71,1
ND29,1
SP50,1
SU49,1
N99,1
NB00,1
W07,1
SD43,1
NT43,1
SX99,1
NN68,1
