ddb id,taxon name,qualifier,authority,vernacular,canonical
2cd4p9h.wwp,Allium sativum,,L.,Garlic,Allium sativum
2cd4p9h.89p,Allium schoenoprasum,,L.,Chives,Allium schoenoprasum
2cd4p9h.fv,Allium scorodoprasum,,L.,Sand Leek,Allium scorodoprasum
2cd4p9h.89s,Allium sphaerocephalon,,L.,Round-headed Leek,Allium sphaerocephalon
2cd4p9h.qc7,Allium subhirsutum,,L.,Hairy Garlic,Allium subhirsutum
2cd4p9h.ezp,Allium triquetrum,,L.,Three-cornered Garlic,Allium triquetrum
2cd4p9h.76k,Allium unifolium,,Kellogg,American Garlic,Allium unifolium
2cd4p9h.8a0,Allium ursinum,,L.,Ramsons,Allium ursinum
2cd4p9h.4n0,Allium vineale,,L.,Wild Onion,Allium vineale
2cd4p9h.cr3,Alnus cordata,,(Loisel.) Duby,Italian Alder,Alnus cordata
2cd4p9h.nq2,Alnus cordata x incana,,,,Alnus cordata x incana
2cd4p9h.v6v,Alnus glutinosa,,(L.) Gaertn.,Alder,Alnus glutinosa
2cd4p9h.ds9aqp,Alnus glutinosa x cordata = A. x elliptica,,Req.,,Alnus x elliptica
2cd4p9h.65g,Alnus glutinosa x incana = A. x hybrida,,A.Braun ex Rchb.,Hybrid Alder,Alnus x hybrida
2cd4p9h.8a3,Alnus incana,,(L.) Moench,Grey Alder,Alnus incana
2cd4p9h.2m3,Alnus rubra,,Bong.,Red Alder,Alnus rubra
2cd4p9h.ar5,Alnus viridis,,(Chaix) DC.,Green Alder,Alnus viridis
2cd4p9h.5y0rz5,Aloe aristata,,Haw.,,Aloe aristata
2cd4p9h.x99,Alopecurus aequalis,,Sobol.,Orange Foxtail,Alopecurus aequalis
2cd4p9h.we3,Alopecurus aequalis x geniculatus = A. x haussknechtianus,,Asch. & Graebn.,,Alopecurus x haussknechtianus
2cd4p9h.x9c,Alopecurus bulbosus,,Gouan,Bulbous Foxtail,Alopecurus bulbosus
2cd4p9h.we6,Alopecurus bulbosus x geniculatus = A. x plettkei,,Mattf.,,Alopecurus x plettkei
2cd4p9h.x9f,Alopecurus geniculatus,,L.,Marsh Foxtail,Alopecurus geniculatus
2cd4p9h.fy,Alopecurus geniculatus x pratensis = A. x brachystylus,,Peterm.,,Alopecurus x brachystylus
2cd4p9h.3hkbsf,Alopecurus magellanicus,,Lam.,Alpine Foxtail,Alopecurus magellanicus
2cd4p9h.x9v,Alopecurus myosuroides,,Huds.,Black-grass,Alopecurus myosuroides
2cd4p9h.8a6,Alopecurus pratensis,,L.,Meadow Foxtail,Alopecurus pratensis
2cd4p9h.nd0,Alstroemeria aurea,,Graham,Peruvian Lily,Alstroemeria aurea
2cd4p9h.fz,Althaea officinalis,,L.,Marsh-mallow,Althaea officinalis
2cd4p9h.x9z,Alyssum alyssoides,,(L.) L.,Small Alison,Alyssum alyssoides
2cd4p9h.g5,Amaranthus albus,,L.,White Pigweed,Amaranthus albus
2cd4p9h.qrp,Amaranthus blitoides,,S.Watson,Prostrate Pigweed,Amaranthus blitoides
2cd4p9h.hbh,Amaranthus blitum,,L.,Guernsey Pigweed,Amaranthus blitum
2cd4p9h.32a,Amaranthus bouchonii,,Thell.,Indehiscent Amaranth,Amaranthus bouchonii
2cd4p9h.3hkc0x,Amaranthus bouchonii x retroflexus,,,,Amaranthus bouchonii x retroflexus
2cd4p9h.6y6,Amaranthus caudatus,,L.,Love-lies-bleeding,Amaranthus caudatus
2cd4p9h.h2k,Amaranthus cruentus,,L.,Purple Amaranth,Amaranthus cruentus
2cd4p9h.ee2,Amaranthus deflexus,,L.,Perennial Pigweed,Amaranthus deflexus
2cd4p9h.3mn,Amaranthus graecizans,,L.,Short-tepalled Pigweed,Amaranthus graecizans
2cd4p9h.xa2,Amaranthus hybridus,,L.,Green Amaranth,Amaranthus hybridus
2cd4p9h.qw3,Amaranthus hybridus x retroflexus = A. x ozanonii,,(Thell.) C.Schust. & M.Goldschm.,,Amaranthus x ozanonii
2cd4p9h.6d2,Amaranthus hypochondriacus,,L.,Prince's-feather,Amaranthus hypochondriacus
2cd4p9h.mx2,Amaranthus powellii,,S.Watson,Powell's Amaranth,Amaranthus powellii
2cd4p9h.bk5,Amaranthus retroflexus,,L.,Common Amaranth,Amaranthus retroflexus
2cd4p9h.aww,Amaryllis belladonna,,L.,Jersey Lily,Amaryllis belladonna
2cd4p9h.4n9,Ambrosia artemisiifolia,,L.,Ragweed,Ambrosia artemisiifolia
