GridRef,Lat,Lon
M78,53.814068,-8.380278
M79,53.903908,-8.381092
G70,53.993747,-8.381911
G71,54.083585,-8.382735
G72,54.173421,-8.383563
G73,54.263256,-8.384396
G74,54.353089,-8.385233
G75,54.442921,-8.386075
G76,54.532752,-8.386921
G77,54.622581,-8.387772
G78,54.712409,-8.388628
G79,54.802236,-8.389488
B70,54.892061,-8.390354
B71,54.981885,-8.391224
B72,55.071707,-8.392099
B73,55.161529,-8.392979
W85,51.747723,-8.217909
W86,51.837596,-8.218342
W87,51.927467,-8.218777
W88,52.017337,-8.219214
W89,52.107206,-8.219654
R80,52.197074,-8.220096
R81,52.286940,-8.220540
R82,52.376805,-8.220987
R83,52.466668,-8.221436
R84,52.556530,-8.221887
R85,52.646390,-8.222341
R86,52.736249,-8.222797
R87,52.826107,-8.223255
R88,52.915964,-8.223716
R89,53.005819,-8.224180
M80,53.095673,-8.224646
M81,53.185525,-8.225114
M82,53.275376,-8.225585
M83,53.365225,-8.226059
M84,53.455074,-8.226535
M85,53.544921,-8.227013
M86,53.634766,-8.227495
M87,53.724610,-8.227978
M88,53.814453,-8.228465
M89,53.904294,-8.228954
G80,53.994134,-8.229446
G81,54.083973,-8.229940
G82,54.173811,-8.230437
G83,54.263647,-8.230937
G84,54.353481,-8.231440
G85,54.443315,-8.231945
G86,54.533147,-8.232454
G87,54.622977,-8.232965
G88,54.712806,-8.233478
G89,54.802634,-8.233995
B80,54.892461,-8.234515
B81,54.982286,-8.235037
B82,55.072110,-8.235562
B83,55.161933,-8.236091
B84,55.251754,-8.236622
W96,51.837775,-8.073265
W97,51.927647,-8.073410
W98,52.017518,-8.073556
W99,52.107387,-8.073703
R90,52.197255,-8.073851
R91,52.287122,-8.074000
R92,52.376987,-8.074149
R93,52.466851,-8.074299
R94,52.556714,-8.074450
R95,52.646575,-8.074602
R96,52.736435,-8.074754
R97,52.826293,-8.074907
R98,52.916150,-8.075062
R99,53.006006,-8.075217
M90,53.095860,-8.075372
M91,53.185713,-8.075529
M92,53.275565,-8.075687
M93,53.365415,-8.075845
M94,53.455264,-8.076004
M95,53.545111,-8.076164
M96,53.634957,-8.076325
M97,53.724802,-8.076487
M98,53.814646,-8.076649
M99,53.904488,-8.076813
G90,53.994328,-8.076977
G91,54.084168,-8.077143
G92,54.174006,-8.077309
G93,54.263842,-8.077476
G94,54.353678,-8.077644
G95,54.443512,-8.077813
G96,54.533344,-8.077983
G97,54.623176,-8.078154
G98,54.713006,-8.078326
G99,54.802834,-8.078499
B90,54.892661,-8.078673
B91,54.982487,-8.078847
B92,55.072312,-8.079023
B93,55.162135,-8.079200
B94,55.251957,-8.079377
X06,51.837775,-7.928187
X07,51.927648,-7.928042
X08,52.017518,-7.927898
X09,52.107388,-7.927752
S00,52.197256,-7.927605
S01,52.287122,-7.927458
S02,52.376988,-7.927310
S03,52.466852,-7.927162
S04,52.556714,-7.927012
S05,52.646575,-7.926862
S06,52.736435,-7.926711
S07,52.826294,-7.926559
S08,52.916151,-7.926406
S09,53.006006,-7.926253
N00,53.095861,-7.926098
N01,53.185714,-7.925943
N02,53.275565,-7.925787
N03,53.365415,-7.925630
N04,53.455264,-7.925472
N05,53.545112,-7.925314
N06,53.634958,-7.925155
N07,53.724803,-7.924994
N08,53.814646,-7.924833
N09,53.904488,-7.924671
H00,53.994329,-7.924508
H01,54.084168,-7.924344
H02,54.174006,-7.924180
H03,54.263843,-7.924014
H04,54.353678,-7.923848
H05,54.443512,-7.923680
H06,54.533345,-7.923512
H07,54.623176,-7.923343
H08,54.713006,-7.923173
H09,54.802835,-7.923002
C00,54.892662,-7.922829
C01,54.982488,-7.922656
C02,55.072312,-7.922482
C03,55.162136,-7.922308
C04,55.251958,-7.922132
X17,51.927468,-7.782676
X18,52.017339,-7.782240
X19,52.107208,-7.781801
S10,52.197075,-7.781361
S11,52.286941,-7.780918
S12,52.376806,-7.780473
S13,52.466669,-7.780025
S14,52.556531,-7.779575
S15,52.646392,-7.779123
S16,52.736251,-7.778668
S17,52.826109,-7.778211
S18,52.915965,-7.777751
S19,53.005820,-7.777289
N10,53.095674,-7.776825
N11,53.185526,-7.776358
N12,53.275377,-7.775888
N13,53.365227,-7.775416
N14,53.455075,-7.774942
N15,53.544922,-7.774465
N16,53.634767,-7.773985
N17,53.724612,-7.773503
N18,53.814454,-7.773018
N19,53.904296,-7.772530
H10,53.994136,-7.772040
H11,54.083975,-7.771547
H12,54.173812,-7.771051
H13,54.263648,-7.770553
H14,54.353483,-7.770052
H15,54.443316,-7.769548
H16,54.533148,-7.769042
H17,54.622979,-7.768532
H18,54.712808,-7.768020
H19,54.802636,-7.767505
C10,54.892462,-7.766987
C11,54.982288,-7.766467
C12,55.072112,-7.765943
C13,55.161934,-7.765416
C14,55.251756,-7.764887
X27,51.927110,-7.637311
X28,52.016979,-7.636584
X29,52.106847,-7.635853
S20,52.196713,-7.635118
S21,52.286578,-7.634380
S22,52.376441,-7.633637
S23,52.466304,-7.632891
S24,52.556164,-7.632140
S25,52.646024,-7.631386
S26,52.735882,-7.630628
S27,52.825738,-7.629865
S28,52.915594,-7.629099
S29,53.005447,-7.628328
N20,53.095300,-7.627554
N21,53.185151,-7.626775
N22,53.275001,-7.625992
N23,53.364849,-7.625205
N24,53.454696,-7.624414
N25,53.544542,-7.623618
N26,53.634386,-7.622818
N27,53.724229,-7.622014
N28,53.814071,-7.621205
N29,53.903911,-7.620392
H20,53.993750,-7.619574
H21,54.083587,-7.618752
H22,54.173423,-7.617926
H23,54.263258,-7.617095
H24,54.353091,-7.616259
H25,54.442923,-7.615419
H26,54.532754,-7.614574
H27,54.622583,-7.613725
H28,54.712411,-7.612871
H29,54.802238,-7.612012
C20,54.892063,-7.611148
C21,54.981887,-7.610280
C22,55.071710,-7.609406
C23,55.161531,-7.608528
C24,55.251351,-7.607645
X38,52.016439,-7.490932
X39,52.106305,-7.489909
S30,52.196170,-7.488880
S31,52.286033,-7.487845
S32,52.375895,-7.486806
S33,52.465755,-7.485761
S34,52.555614,-7.484710
S35,52.645472,-7.483653
S36,52.735328,-7.482592
S37,52.825183,-7.481524
S38,52.915036,-7.480451
S39,53.004888,-7.479372
N30,53.094739,-7.478287
N31,53.184588,-7.477197
N32,53.274436,-7.476100
N33,53.364283,-7.474998
N34,53.454128,-7.473890
N35,53.543971,-7.472775
N36,53.633814,-7.471655
N37,53.723655,-7.470529
N38,53.813495,-7.469396
N39,53.903333,-7.468258
H30,53.993170,-7.467113
H31,54.083005,-7.465962
H32,54.172840,-7.464805
H33,54.262672,-7.463641
H34,54.352504,-7.462471
H35,54.442334,-7.461294
H36,54.532163,-7.460112
H37,54.621990,-7.458922
H38,54.711816,-7.457726
H39,54.801641,-7.456523
C30,54.891464,-7.455314
C31,54.981286,-7.454098
C32,55.071107,-7.452875
C33,55.160926,-7.451645
C34,55.250744,-7.450408
C35,55.340560,-7.449165
C36,55.430376,-7.447914
X49,52.105583,-7.343969
S40,52.195445,-7.342647
S41,52.285306,-7.341317
S42,52.375165,-7.339980
S43,52.465023,-7.338636
S44,52.554880,-7.337285
S45,52.644735,-7.335926
S46,52.734589,-7.334561
S47,52.824442,-7.333188
S48,52.914293,-7.331808
S49,53.004142,-7.330421
N40,53.093990,-7.329026
N41,53.183837,-7.327624
N42,53.273683,-7.326214
N43,53.363527,-7.324797
N44,53.453370,-7.323372
N45,53.543211,-7.321939
N46,53.633051,-7.320499
N47,53.722889,-7.319050
N48,53.812727,-7.317594
N49,53.902562,-7.316130
H40,53.992397,-7.314658
H41,54.082230,-7.313178
H42,54.172061,-7.311690
H43,54.261892,-7.310194
H44,54.351721,-7.308689
H45,54.441548,-7.307176
H46,54.531374,-7.305655
H47,54.621199,-7.304126
H48,54.711022,-7.302588
H49,54.800844,-7.301041
C40,54.890665,-7.299486
C41,54.980484,-7.297922
C42,55.070302,-7.296350
C43,55.160119,-7.294769
C44,55.249934,-7.293178
C45,55.339748,-7.291579
C46,55.429561,-7.289971
X59,52.104680,-7.198037
S50,52.194539,-7.196420
S51,52.284397,-7.194795
S52,52.374254,-7.193161
S53,52.464109,-7.191518
S54,52.553963,-7.189867
S55,52.643815,-7.188207
S56,52.733666,-7.186538
S57,52.823515,-7.184860
S58,52.913363,-7.183173
S59,53.003210,-7.181477
N50,53.093055,-7.179773
N51,53.182899,-7.178059
N52,53.272741,-7.176336
N53,53.362582,-7.174603
N54,53.452422,-7.172861
N55,53.542260,-7.171110
N56,53.632097,-7.169350
N57,53.721932,-7.167580
N58,53.811766,-7.165800
N59,53.901599,-7.164010
H50,53.991430,-7.162211
H51,54.081260,-7.160402
H52,54.171089,-7.158583
H53,54.260916,-7.156754
H54,54.350741,-7.154916
H55,54.440566,-7.153067
H56,54.530389,-7.151207
H57,54.620210,-7.149338
H58,54.710030,-7.147458
H59,54.799849,-7.145568
C50,54.889666,-7.143667
C51,54.979482,-7.141756
C52,55.069297,-7.139834
C53,55.159110,-7.137901
C54,55.248922,-7.135958
C55,55.338733,-7.134003
X69,52.103597,-7.052114
S60,52.193453,-7.050203
S61,52.283307,-7.048282
S62,52.373160,-7.046351
S63,52.463012,-7.044409
S64,52.552862,-7.042458
S65,52.642710,-7.040496
S66,52.732558,-7.038523
S67,52.822403,-7.036541
S68,52.912248,-7.034547
S69,53.002091,-7.032543
N60,53.091932,-7.030528
N61,53.181773,-7.028503
N62,53.271611,-7.026466
N63,53.361449,-7.024419
N64,53.451285,-7.022361
N65,53.541119,-7.020291
N66,53.630952,-7.018210
N67,53.720784,-7.016118
N68,53.810614,-7.014015
N69,53.900443,-7.011900
H60,53.990271,-7.009774
H61,54.080097,-7.007636
H62,54.169921,-7.005487
H63,54.259744,-7.003325
H64,54.349566,-7.001152
H65,54.439387,-6.998967
H66,54.529206,-6.996770
H67,54.619023,-6.994560
H68,54.708840,-6.992339
H69,54.798654,-6.990105
C60,54.888468,-6.987859
C61,54.978280,-6.985600
C62,55.068090,-6.983328
C63,55.157900,-6.981044
C64,55.247707,-6.978748
X79,52.102333,-6.906200
S70,52.192185,-6.903995
S71,52.282035,-6.901779
S72,52.371884,-6.899550
S73,52.461731,-6.897311
S74,52.551577,-6.895059
S75,52.641422,-6.892795
S76,52.731265,-6.890519
S77,52.821106,-6.888232
S78,52.910947,-6.885932
S79,53.000785,-6.883619
N70,53.090623,-6.881295
N71,53.180459,-6.878958
N72,53.270293,-6.876608
N73,53.360126,-6.874246
N74,53.449958,-6.871871
N75,53.539788,-6.869483
N76,53.629617,-6.867082
N77,53.719444,-6.864669
N78,53.809270,-6.862242
N79,53.899094,-6.859802
H70,53.988918,-6.857349
H71,54.078739,-6.854882
H72,54.168559,-6.852402
H73,54.258378,-6.849908
H74,54.348195,-6.847401
H75,54.438011,-6.844879
H76,54.527826,-6.842344
H77,54.617639,-6.839795
H78,54.707450,-6.837232
H79,54.797261,-6.834654
C70,54.887069,-6.832063
C71,54.976877,-6.829457
C72,55.066683,-6.826836
C73,55.156487,-6.824200
S80,52.190735,-6.757799
S81,52.280581,-6.755287
S82,52.370425,-6.752762
S83,52.460268,-6.750224
S84,52.550109,-6.747672
S85,52.639949,-6.745107
S86,52.729787,-6.742528
S87,52.819624,-6.739935
S88,52.909460,-6.737328
S89,52.999294,-6.734708
N80,53.089126,-6.732074
N81,53.178957,-6.729425
N82,53.268787,-6.726762
N83,53.358615,-6.724085
N84,53.448442,-6.721394
N85,53.538267,-6.718688
N86,53.628091,-6.715967
N87,53.717913,-6.713232
N88,53.807734,-6.710482
N89,53.897553,-6.707717
H80,53.987371,-6.704936
H81,54.077188,-6.702141
H82,54.167003,-6.699330
H83,54.256816,-6.696504
H84,54.346629,-6.693663
H85,54.436439,-6.690806
H86,54.526249,-6.687933
H87,54.616056,-6.685044
H88,54.705863,-6.682139
H89,54.795668,-6.679218
C80,54.885471,-6.676281
C81,54.975273,-6.673328
C82,55.065074,-6.670358
C83,55.154873,-6.667371
C84,55.244671,-6.664368
X99,52.099263,-6.614408
S90,52.189105,-6.611616
S91,52.278946,-6.608809
S92,52.368785,-6.605987
S93,52.458622,-6.603150
S94,52.548458,-6.600299
S95,52.638292,-6.597432
S96,52.728125,-6.594549
S97,52.817957,-6.591652
S98,52.907787,-6.588739
S99,52.997615,-6.585811
N90,53.087442,-6.582867
N91,53.177268,-6.579907
N92,53.267092,-6.576931
N93,53.356915,-6.573939
N94,53.446736,-6.570932
N95,53.536556,-6.567907
N96,53.626374,-6.564867
N97,53.716190,-6.561810
N98,53.806006,-6.558737
N99,53.895819,-6.555647
H90,53.985632,-6.552540
H91,54.075443,-6.549416
H92,54.165252,-6.546275
H93,54.255060,-6.543116
H94,54.344866,-6.539941
H95,54.434671,-6.536748
H96,54.524474,-6.533537
H97,54.614276,-6.530309
H98,54.704077,-6.527063
H99,54.793876,-6.523798
C90,54.883674,-6.520516
C91,54.973470,-6.517215
C92,55.063264,-6.513896
C93,55.153057,-6.510559
C94,55.242849,-6.507203
T00,52.187294,-6.465448
T01,52.277129,-6.462346
T02,52.366962,-6.459227
T03,52.456793,-6.456092
T04,52.546623,-6.452940
T05,52.636452,-6.449772
T06,52.726279,-6.446587
T07,52.816104,-6.443385
T08,52.905928,-6.440165
T09,52.995751,-6.436929
O00,53.085572,-6.433675
O01,53.175391,-6.430404
O02,53.265209,-6.427116
O03,53.355026,-6.423809
O04,53.444841,-6.420485
O05,53.534654,-6.417143
O06,53.624466,-6.413783
O07,53.714277,-6.410405
O08,53.804086,-6.407008
O09,53.893893,-6.403593
J00,53.983699,-6.400160
J01,54.073503,-6.396707
J02,54.163306,-6.393236
J03,54.253108,-6.389746
J04,54.342908,-6.386236
J05,54.432706,-6.382707
J06,54.522503,-6.379159
J07,54.612299,-6.375591
J08,54.702093,-6.372004
J09,54.791885,-6.368397
D00,54.881676,-6.364769
D01,54.971466,-6.361122
D02,55.061254,-6.357454
D03,55.151040,-6.353765
D04,55.240825,-6.350056
D05,55.330609,-6.346326
T10,52.185302,-6.319296
T11,52.275130,-6.315899
T12,52.364956,-6.312483
T13,52.454781,-6.309050
T14,52.544605,-6.305599
T15,52.634427,-6.302129
T16,52.724247,-6.298641
T17,52.814066,-6.295134
T18,52.903884,-6.291609
T19,52.993700,-6.288065
O10,53.083514,-6.284502
O11,53.173327,-6.280919
O12,53.263138,-6.277318
O13,53.352948,-6.273697
O14,53.442756,-6.270057
O15,53.532563,-6.266397
O16,53.622368,-6.262718
O17,53.712172,-6.259018
O18,53.801974,-6.255298
O19,53.891774,-6.251559
J10,53.981573,-6.247798
J11,54.071371,-6.244018
J12,54.161167,-6.240216
J13,54.250961,-6.236394
J14,54.340754,-6.232551
J15,54.430545,-6.228687
J16,54.520335,-6.224801
J17,54.610123,-6.220894
J18,54.699910,-6.216965
J19,54.789696,-6.213015
D10,54.879479,-6.209042
D11,54.969261,-6.205048
D12,55.059042,-6.201031
D13,55.148821,-6.196992
D14,55.238599,-6.192930
D15,55.328375,-6.188846
T24,52.542404,-6.158275
T25,52.632219,-6.154504
T26,52.722032,-6.150714
T27,52.811844,-6.146902
T28,52.901654,-6.143071
T29,52.991462,-6.139219
O20,53.081269,-6.135347
O21,53.171075,-6.131454
O22,53.260879,-6.127540
O23,53.350681,-6.123605
O24,53.440482,-6.119649
O25,53.530281,-6.115671
O26,53.620079,-6.111672
J20,53.979254,-6.095458
J21,54.069044,-6.091349
J22,54.158833,-6.087217
J23,54.248619,-6.083063
J24,54.338404,-6.078887
J25,54.428188,-6.074687
J26,54.517970,-6.070464
J27,54.607751,-6.066218
J28,54.697530,-6.061948
J29,54.787307,-6.057655
D20,54.877083,-6.053338
D21,54.966857,-6.048997
D22,55.056630,-6.044631
D23,55.146401,-6.040242
D24,55.236170,-6.035827
T38,52.899238,-5.994554
T39,52.989039,-5.990394
O30,53.078838,-5.986213
O31,53.168636,-5.982009
O35,53.527810,-5.964966
J31,54.066524,-5.938702
J32,54.156304,-5.934241
J33,54.246083,-5.929756
J34,54.335859,-5.925245
J35,54.425635,-5.920710
J36,54.515408,-5.916150
J37,54.605180,-5.911565
J38,54.694951,-5.906955
J39,54.784720,-5.902319
D30,54.874487,-5.897657
D31,54.964252,-5.892970
J43,54.243351,-5.776472
J44,54.333119,-5.771629
J45,54.422885,-5.766759
J46,54.512650,-5.761862
J47,54.602413,-5.756938
J48,54.692174,-5.751987
J49,54.781933,-5.747009
D40,54.871691,-5.742003
J53,54.240425,-5.623216
J54,54.330183,-5.618039
J55,54.419939,-5.612834
