GridRef,x,y
NR16,"115000","665000"
NM14,"115000","745000"
NM15,"115000","755000"
NM16,"115000","765000"
NG10,"115000","805000"
NG13,"115000","835000"
NG14,"115000","845000"
NG15,"115000","855000"
NG18,"115000","885000"
NG19,"115000","895000"
NB10,"115000","905000"
NB11,"115000","915000"
NB12,"115000","925000"
NB13,"115000","935000"
NB14,"115000","945000"
NW20,"125000","505000"
NW21,"125000","515000"
NW22,"125000","525000"
NW23,"125000","535000"
NW24,"125000","545000"
NW25,"125000","555000"
NW26,"125000","565000"
NW27,"125000","575000"
NW28,"125000","585000"
NW29,"125000","595000"
NR20,"125000","605000"
NR21,"125000","615000"
NR23,"125000","635000"
NR24,"125000","645000"
NR25,"125000","655000"
NR26,"125000","665000"
NR27,"125000","675000"
NM21,"125000","715000"
NM22,"125000","725000"
NM24,"125000","745000"
NM25,"125000","755000"
NM26,"125000","765000"
NM29,"125000","795000"
NG20,"125000","805000"
NG22,"125000","825000"
NG23,"125000","835000"
NG24,"125000","845000"
NG25,"125000","855000"
NG26,"125000","865000"
NG29,"125000","895000"
NB20,"125000","905000"
NB21,"125000","915000"
NB22,"125000","925000"
NB23,"125000","935000"
NB24,"125000","945000"
NB25,"125000","955000"
SW32,"135000","25000"
SW33,"135000","35000"
NW30,"135000","505000"
NW31,"135000","515000"
NW32,"135000","525000"
NW33,"135000","535000"
NW34,"135000","545000"
NW35,"135000","555000"
NW36,"135000","565000"
NW37,"135000","575000"
NW38,"135000","585000"
NW39,"135000","595000"
NR30,"135000","605000"
NR31,"135000","615000"
NR33,"135000","635000"
NR34,"135000","645000"
NR35,"135000","655000"
NR36,"135000","665000"
NR37,"135000","675000"
NR38,"135000","685000"
NR39,"135000","695000"
NM31,"135000","715000"
NM32,"135000","725000"
NM33,"135000","735000"
NM34,"135000","745000"
NM35,"135000","755000"
NM36,"135000","765000"
NM37,"135000","775000"
NM38,"135000","785000"
NM39,"135000","795000"
NG30,"135000","805000"
NG31,"135000","815000"
NG32,"135000","825000"
NG33,"135000","835000"
NG34,"135000","845000"
NG35,"135000","855000"
NG36,"135000","865000"
NG37,"135000","875000"
NG39,"135000","895000"
NB30,"135000","905000"
NB31,"135000","915000"
NB32,"135000","925000"
NB33,"135000","935000"
NB34,"135000","945000"
NB35,"135000","955000"
SW42,"145000","25000"
SW43,"145000","35000"
SW44,"145000","45000"
NW40,"145000","505000"
NW41,"145000","515000"
NW42,"145000","525000"
NW43,"145000","535000"
NW44,"145000","545000"
NW45,"145000","555000"
NW46,"145000","565000"
NW47,"145000","575000"
NW48,"145000","585000"
NW49,"145000","595000"
NR44,"145000","645000"
NR45,"145000","655000"
NR46,"145000","665000"
NR47,"145000","675000"
NR48,"145000","685000"
NR49,"145000","695000"
NM40,"145000","705000"
NM41,"145000","715000"
NM42,"145000","725000"
NM43,"145000","735000"
NM44,"145000","745000"
NM45,"145000","755000"
NM46,"145000","765000"
NM47,"145000","775000"
NM48,"145000","785000"
NM49,"145000","795000"
NG40,"145000","805000"
NG41,"145000","815000"
NG42,"145000","825000"
NG43,"145000","835000"
NG44,"145000","845000"
NG45,"145000","855000"
NG46,"145000","865000"
NG47,"145000","875000"
NG49,"145000","895000"
NB40,"145000","905000"
NB41,"145000","915000"
NB42,"145000","925000"
NB43,"145000","935000"
NB44,"145000","945000"
NB45,"145000","955000"
NB46,"145000","965000"
SW52,"155000","25000"
SW53,"155000","35000"
SW54,"155000","45000"
NW50,"155000","505000"
NW51,"155000","515000"
NW52,"155000","525000"
NW53,"155000","535000"
NW54,"155000","545000"
NW55,"155000","555000"
NW56,"155000","565000"
NW57,"155000","575000"
NR50,"155000","605000"
NR51,"155000","615000"
NR56,"155000","665000"
NR57,"155000","675000"
NR58,"155000","685000"
NR59,"155000","695000"
NM51,"155000","715000"
NM52,"155000","725000"
NM53,"155000","735000"
NM54,"155000","745000"
NM55,"155000","755000"
NM56,"155000","765000"
NM57,"155000","775000"
NM58,"155000","785000"
NM59,"155000","795000"
NG50,"155000","805000"
NG51,"155000","815000"
NG52,"155000","825000"
NG53,"155000","835000"
NG54,"155000","845000"
NG55,"155000","855000"
NG56,"155000","865000"
NB52,"155000","925000"
NB53,"155000","935000"
NB54,"155000","945000"
NB55,"155000","955000"
NB56,"155000","965000"
SW61,"165000","15000"
SW62,"165000","25000"
SW63,"165000","35000"
SW64,"165000","45000"
SW65,"165000","55000"
SM62,"165000","225000"
NW60,"165000","505000"
NW61,"165000","515000"
NW62,"165000","525000"
NW63,"165000","535000"
NW64,"165000","545000"
NW65,"165000","555000"
NR60,"165000","605000"
NR61,"165000","615000"
NR62,"165000","625000"
NR63,"165000","635000"
NR64,"165000","645000"
NR65,"165000","655000"
NR66,"165000","665000"
NR67,"165000","675000"
NR68,"165000","685000"
NR69,"165000","695000"
NM60,"165000","705000"
NM61,"165000","715000"
NM62,"165000","725000"
NM63,"165000","735000"
NM64,"165000","745000"
NM65,"165000","755000"
NM66,"165000","765000"
NM67,"165000","775000"
NM68,"165000","785000"
NM69,"165000","795000"
NG60,"165000","805000"
NG61,"165000","815000"
NG62,"165000","825000"
NG63,"165000","835000"
NG64,"165000","845000"
NG65,"165000","855000"
NG66,"165000","865000"
HW62,"165000","1025000"
HW63,"165000","1035000"
SW71,"175000","15000"
SW72,"175000","25000"
SW73,"175000","35000"
SW74,"175000","45000"
SW75,"175000","55000"
SW76,"175000","65000"
SM70,"175000","205000"
SM71,"175000","215000"
SM72,"175000","225000"
SM73,"175000","235000"
NW70,"175000","505000"
NW71,"175000","515000"
NW72,"175000","525000"
NW73,"175000","535000"
NR70,"175000","605000"
NR71,"175000","615000"
NR72,"175000","625000"
NR73,"175000","635000"
NR74,"175000","645000"
NR75,"175000","655000"
NR76,"175000","665000"
NR77,"175000","675000"
NR78,"175000","685000"
NR79,"175000","695000"
NM70,"175000","705000"
NM71,"175000","715000"
NM72,"175000","725000"
NM73,"175000","735000"
NM74,"175000","745000"
NM75,"175000","755000"
NM76,"175000","765000"
NM77,"175000","775000"
NM78,"175000","785000"
NM79,"175000","795000"
NG70,"175000","805000"
NG71,"175000","815000"
NG72,"175000","825000"
NG73,"175000","835000"
NG74,"175000","845000"
NG75,"175000","855000"
NG76,"175000","865000"
NG77,"175000","875000"
NG78,"175000","885000"
NG79,"175000","895000"
HW73,"175000","1035000"
SW81,"185000","15000"
SW82,"185000","25000"
SW83,"185000","35000"
SW84,"185000","45000"
SW85,"185000","55000"
SW86,"185000","65000"
SW87,"185000","75000"
SR89,"185000","195000"
SM80,"185000","205000"
SM81,"185000","215000"
SM82,"185000","225000"
SM83,"185000","235000"
SM84,"185000","245000"
NR82,"185000","625000"
NR83,"185000","635000"
NR84,"185000","645000"
NR85,"185000","655000"
NR86,"185000","665000"
NR87,"185000","675000"
NR88,"185000","685000"
NR89,"185000","695000"
NM80,"185000","705000"
NM81,"185000","715000"
NM82,"185000","725000"
NM83,"185000","735000"
NM84,"185000","745000"
NM85,"185000","755000"
NM86,"185000","765000"
NM87,"185000","775000"
NM88,"185000","785000"
NM89,"185000","795000"
NG80,"185000","805000"
NG81,"185000","815000"
NG82,"185000","825000"
NG83,"185000","835000"
NG84,"185000","845000"
NG85,"185000","855000"
NG86,"185000","865000"
NG87,"185000","875000"
NG88,"185000","885000"
NG89,"185000","895000"
HW83,"185000","1035000"
SW93,"195000","35000"
SW94,"195000","45000"
SW95,"195000","55000"
SW96,"195000","65000"
SW97,"195000","75000"
SW98,"195000","85000"
SR99,"195000","195000"
SM90,"195000","205000"
SM91,"195000","215000"
SM92,"195000","225000"
SM93,"195000","235000"
SM94,"195000","245000"
NW95,"195000","555000"
NW96,"195000","565000"
NW97,"195000","575000"
NR91,"195000","615000"
NR92,"195000","625000"
NR93,"195000","635000"
NR94,"195000","645000"
NR95,"195000","655000"
NR96,"195000","665000"
NR97,"195000","675000"
NR98,"195000","685000"
NR99,"195000","695000"
NM90,"195000","705000"
NM91,"195000","715000"
NM92,"195000","725000"
NM93,"195000","735000"
NM94,"195000","745000"
NM95,"195000","755000"
NM96,"195000","765000"
NM97,"195000","775000"
NM98,"195000","785000"
NM99,"195000","795000"
NG90,"195000","805000"
NG91,"195000","815000"
NG92,"195000","825000"
NG93,"195000","835000"
NG94,"195000","845000"
NG95,"195000","855000"
NG96,"195000","865000"
NG97,"195000","875000"
NG98,"195000","885000"
NG99,"195000","895000"
NB90,"195000","905000"
NB91,"195000","915000"
NB93,"195000","935000"
SX03,"205000","35000"
SX04,"205000","45000"
SX05,"205000","55000"
SX06,"205000","65000"
SX07,"205000","75000"
SX08,"205000","85000"
SX09,"205000","95000"
SS09,"205000","195000"
SN00,"205000","205000"
SN01,"205000","215000"
SN02,"205000","225000"
SN03,"205000","235000"
SN04,"205000","245000"
SH02,"205000","325000"
NX03,"205000","535000"
NX04,"205000","545000"
NX05,"205000","555000"
NX06,"205000","565000"
NX07,"205000","575000"
NX08,"205000","585000"
NX09,"205000","595000"
NS00,"205000","605000"
NS01,"205000","615000"
NS02,"205000","625000"
NS03,"205000","635000"
NS04,"205000","645000"
NS05,"205000","655000"
NS06,"205000","665000"
NS07,"205000","675000"
NS08,"205000","685000"
NS09,"205000","695000"
NN00,"205000","705000"
NN01,"205000","715000"
NN02,"205000","725000"
NN03,"205000","735000"
NN04,"205000","745000"
NN05,"205000","755000"
NN06,"205000","765000"
NN07,"205000","775000"
NN08,"205000","785000"
NN09,"205000","795000"
NH00,"205000","805000"
NH01,"205000","815000"
NH02,"205000","825000"
NH03,"205000","835000"
NH04,"205000","845000"
NH05,"205000","855000"
NH06,"205000","865000"
NH07,"205000","875000"
NH08,"205000","885000"
NH09,"205000","895000"
NC00,"205000","905000"
NC01,"205000","915000"
NC02,"205000","925000"
NC03,"205000","935000"
SX14,"215000","45000"
SX15,"215000","55000"
SX16,"215000","65000"
SX17,"215000","75000"
SX18,"215000","85000"
SX19,"215000","95000"
SS10,"215000","105000"
SS11,"215000","115000"
SS12,"215000","125000"
SS14,"215000","145000"
SS19,"215000","195000"
SN10,"215000","205000"
SN11,"215000","215000"
SN12,"215000","225000"
SN13,"215000","235000"
SN14,"215000","245000"
SN15,"215000","255000"
SH11,"215000","315000"
SH12,"215000","325000"
SH13,"215000","335000"
SH17,"215000","375000"
SH18,"215000","385000"
SC16,"215000","465000"
SC17,"215000","475000"
NX12,"215000","525000"
NX13,"215000","535000"
NX14,"215000","545000"
NX15,"215000","555000"
NX16,"215000","565000"
NX17,"215000","575000"
NX18,"215000","585000"
NX19,"215000","595000"
NS10,"215000","605000"
NS14,"215000","645000"
NS15,"215000","655000"
NS16,"215000","665000"
NS17,"215000","675000"
NS18,"215000","685000"
NS19,"215000","695000"
NN10,"215000","705000"
NN11,"215000","715000"
NN12,"215000","725000"
NN13,"215000","735000"
NN14,"215000","745000"
NN15,"215000","755000"
NN16,"215000","765000"
NN17,"215000","775000"
NN18,"215000","785000"
NN19,"215000","795000"
NH10,"215000","805000"
NH11,"215000","815000"
NH12,"215000","825000"
NH13,"215000","835000"
NH14,"215000","845000"
NH15,"215000","855000"
NH16,"215000","865000"
NH17,"215000","875000"
NH18,"215000","885000"
NH19,"215000","895000"
NC10,"215000","905000"
NC11,"215000","915000"
NC12,"215000","925000"
NC13,"215000","935000"
NC14,"215000","945000"
NC15,"215000","955000"
NC16,"215000","965000"
SX24,"225000","45000"
SX25,"225000","55000"
SX26,"225000","65000"
SX27,"225000","75000"
SX28,"225000","85000"
SX29,"225000","95000"
SS20,"225000","105000"
SS21,"225000","115000"
SS22,"225000","125000"
SN20,"225000","205000"
SN21,"225000","215000"
SN22,"225000","225000"
SN23,"225000","235000"
SN24,"225000","245000"
SN25,"225000","255000"
SH22,"225000","325000"
SH23,"225000","335000"
SH24,"225000","345000"
SH27,"225000","375000"
SH28,"225000","385000"
SH29,"225000","395000"
SC26,"225000","465000"
SC27,"225000","475000"
SC28,"225000","485000"
SC29,"225000","495000"
NX24,"225000","545000"
NX25,"225000","555000"
NX26,"225000","565000"
NX27,"225000","575000"
NX28,"225000","585000"
NX29,"225000","595000"
NS20,"225000","605000"
NS21,"225000","615000"
NS23,"225000","635000"
NS24,"225000","645000"
NS25,"225000","655000"
NS26,"225000","665000"
NS27,"225000","675000"
NS28,"225000","685000"
NS29,"225000","695000"
NN20,"225000","705000"
NN21,"225000","715000"
NN22,"225000","725000"
NN23,"225000","735000"
NN24,"225000","745000"
NN25,"225000","755000"
NN26,"225000","765000"
NN27,"225000","775000"
NN28,"225000","785000"
NN29,"225000","795000"
NH20,"225000","805000"
NH21,"225000","815000"
NH22,"225000","825000"
NH23,"225000","835000"
NH24,"225000","845000"
NH25,"225000","855000"
NH26,"225000","865000"
NH27,"225000","875000"
NH28,"225000","885000"
NH29,"225000","895000"
NC20,"225000","905000"
NC21,"225000","915000"
NC22,"225000","925000"
NC23,"225000","935000"
NC24,"225000","945000"
NC25,"225000","955000"
NC26,"225000","965000"
NC27,"225000","975000"
SX35,"235000","55000"
SX36,"235000","65000"
SX37,"235000","75000"
SX38,"235000","85000"
SX39,"235000","95000"
SS30,"235000","105000"
SS31,"235000","115000"
SS32,"235000","125000"
SS38,"235000","185000"
SS39,"235000","195000"
SN30,"235000","205000"
SN31,"235000","215000"
SN32,"235000","225000"
SN33,"235000","235000"
SN34,"235000","245000"
SN35,"235000","255000"
SN36,"235000","265000"
SH32,"235000","325000"
SH33,"235000","335000"
SH34,"235000","345000"
SH35,"235000","355000"
SH36,"235000","365000"
SH37,"235000","375000"
SH38,"235000","385000"
SH39,"235000","395000"
SC36,"235000","465000"
SC37,"235000","475000"
SC38,"235000","485000"
SC39,"235000","495000"
NX30,"235000","505000"
NX33,"235000","535000"
NX34,"235000","545000"
NX35,"235000","555000"
NX36,"235000","565000"
NX37,"235000","575000"
NX38,"235000","585000"
NX39,"235000","595000"
NS30,"235000","605000"
NS31,"235000","615000"
NS32,"235000","625000"
NS33,"235000","635000"
NS34,"235000","645000"
NS35,"235000","655000"
NS36,"235000","665000"
NS37,"235000","675000"
NS38,"235000","685000"
NS39,"235000","695000"
NN30,"235000","705000"
NN31,"235000","715000"
NN32,"235000","725000"
NN33,"235000","735000"
NN34,"235000","745000"
NN35,"235000","755000"
NN36,"235000","765000"
NN37,"235000","775000"
NN38,"235000","785000"
NN39,"235000","795000"
NH30,"235000","805000"
NH31,"235000","815000"
NH32,"235000","825000"
NH33,"235000","835000"
NH34,"235000","845000"
NH35,"235000","855000"
NH36,"235000","865000"
NH37,"235000","875000"
NH38,"235000","885000"
NH39,"235000","895000"
NC30,"235000","905000"
NC31,"235000","915000"
NC32,"235000","925000"
NC33,"235000","935000"
NC34,"235000","945000"
NC35,"235000","955000"
NC36,"235000","965000"
NC37,"235000","975000"
SX44,"245000","45000"
SX45,"245000","55000"
SX46,"245000","65000"
SX47,"245000","75000"
SX48,"245000","85000"
SX49,"245000","95000"
SS40,"245000","105000"
SS41,"245000","115000"
SS42,"245000","125000"
SS43,"245000","135000"
SS44,"245000","145000"
SS48,"245000","185000"
SS49,"245000","195000"
SN40,"245000","205000"
SN41,"245000","215000"
SN42,"245000","225000"
SN43,"245000","235000"
SN44,"245000","245000"
SN45,"245000","255000"
SN46,"245000","265000"
SH43,"245000","335000"
SH44,"245000","345000"
SH45,"245000","355000"
SH46,"245000","365000"
SH47,"245000","375000"
SH48,"245000","385000"
SH49,"245000","395000"
SC47,"245000","475000"
SC48,"245000","485000"
SC49,"245000","495000"
NX40,"245000","505000"
NX43,"245000","535000"
NX44,"245000","545000"
NX45,"245000","555000"
NX46,"245000","565000"
NX47,"245000","575000"
NX48,"245000","585000"
NX49,"245000","595000"
NS40,"245000","605000"
NS41,"245000","615000"
NS42,"245000","625000"
NS43,"245000","635000"
NS44,"245000","645000"
NS45,"245000","655000"
NS46,"245000","665000"
NS47,"245000","675000"
NS48,"245000","685000"
NS49,"245000","695000"
NN40,"245000","705000"
NN41,"245000","715000"
NN42,"245000","725000"
NN43,"245000","735000"
NN44,"245000","745000"
NN45,"245000","755000"
NN46,"245000","765000"
NN47,"245000","775000"
NN48,"245000","785000"
NN49,"245000","795000"
NH40,"245000","805000"
NH41,"245000","815000"
NH42,"245000","825000"
NH43,"245000","835000"
NH44,"245000","845000"
NH45,"245000","855000"
NH46,"245000","865000"
NH47,"245000","875000"
NH48,"245000","885000"
NH49,"245000","895000"
NC40,"245000","905000"
NC41,"245000","915000"
NC42,"245000","925000"
NC43,"245000","935000"
NC44,"245000","945000"
NC45,"245000","955000"
NC46,"245000","965000"
NC47,"245000","975000"
SX54,"255000","45000"
SX55,"255000","55000"
SX56,"255000","65000"
SX57,"255000","75000"
SX58,"255000","85000"
SX59,"255000","95000"
SS50,"255000","105000"
SS51,"255000","115000"
SS52,"255000","125000"
SS53,"255000","135000"
SS54,"255000","145000"
SS58,"255000","185000"
SS59,"255000","195000"
SN50,"255000","205000"
SN51,"255000","215000"
SN52,"255000","225000"
SN53,"255000","235000"
SN54,"255000","245000"
SN55,"255000","255000"
SN56,"255000","265000"
SN57,"255000","275000"
SN58,"255000","285000"
SN59,"255000","295000"
SH50,"255000","305000"
SH51,"255000","315000"
SH52,"255000","325000"
SH53,"255000","335000"
SH54,"255000","345000"
SH55,"255000","355000"
SH56,"255000","365000"
SH57,"255000","375000"
SH58,"255000","385000"
SC59,"255000","495000"
NX54,"255000","545000"
NX55,"255000","555000"
NX56,"255000","565000"
NX57,"255000","575000"
NX58,"255000","585000"
NX59,"255000","595000"
NS50,"255000","605000"
NS51,"255000","615000"
NS52,"255000","625000"
NS53,"255000","635000"
NS54,"255000","645000"
NS55,"255000","655000"
NS56,"255000","665000"
NS57,"255000","675000"
NS58,"255000","685000"
NS59,"255000","695000"
NN50,"255000","705000"
NN51,"255000","715000"
NN52,"255000","725000"
NN53,"255000","735000"
NN54,"255000","745000"
NN55,"255000","755000"
NN56,"255000","765000"
NN57,"255000","775000"
NN58,"255000","785000"
NN59,"255000","795000"
NH50,"255000","805000"
NH51,"255000","815000"
NH52,"255000","825000"
NH53,"255000","835000"
NH54,"255000","845000"
NH55,"255000","855000"
NH56,"255000","865000"
NH57,"255000","875000"
NH58,"255000","885000"
NH59,"255000","895000"
NC50,"255000","905000"
NC51,"255000","915000"
NC52,"255000","925000"
NC53,"255000","935000"
NC54,"255000","945000"
NC55,"255000","955000"
NC56,"255000","965000"
SX63,"265000","35000"
SX64,"265000","45000"
SX65,"265000","55000"
SX66,"265000","65000"
SX67,"265000","75000"
SX68,"265000","85000"
SX69,"265000","95000"
SS60,"265000","105000"
SS61,"265000","115000"
SS62,"265000","125000"
SS63,"265000","135000"
SS64,"265000","145000"
SS65,"265000","155000"
SS68,"265000","185000"
SS69,"265000","195000"
SN60,"265000","205000"
SN61,"265000","215000"
SN62,"265000","225000"
SN63,"265000","235000"
SN64,"265000","245000"
SN65,"265000","255000"
SN66,"265000","265000"
SN67,"265000","275000"
SN68,"265000","285000"
SN69,"265000","295000"
SH60,"265000","305000"
SH61,"265000","315000"
SH62,"265000","325000"
SH63,"265000","335000"
SH64,"265000","345000"
SH65,"265000","355000"
SH66,"265000","365000"
SH67,"265000","375000"
SH68,"265000","385000"
NX64,"265000","545000"
NX65,"265000","555000"
NX66,"265000","565000"
NX67,"265000","575000"
NX68,"265000","585000"
NX69,"265000","595000"
NS60,"265000","605000"
NS61,"265000","615000"
NS62,"265000","625000"
NS63,"265000","635000"
NS64,"265000","645000"
NS65,"265000","655000"
NS66,"265000","665000"
NS67,"265000","675000"
NS68,"265000","685000"
NS69,"265000","695000"
NN60,"265000","705000"
NN61,"265000","715000"
NN62,"265000","725000"
NN63,"265000","735000"
NN64,"265000","745000"
NN65,"265000","755000"
NN66,"265000","765000"
NN67,"265000","775000"
NN68,"265000","785000"
NN69,"265000","795000"
NH60,"265000","805000"
NH61,"265000","815000"
NH62,"265000","825000"
NH63,"265000","835000"
NH64,"265000","845000"
NH65,"265000","855000"
NH66,"265000","865000"
NH67,"265000","875000"
NH68,"265000","885000"
NH69,"265000","895000"
NC60,"265000","905000"
NC61,"265000","915000"
NC62,"265000","925000"
NC63,"265000","935000"
NC64,"265000","945000"
NC65,"265000","955000"
NC66,"265000","965000"
HX62,"265000","1025000"
SX73,"275000","35000"
SX74,"275000","45000"
SX75,"275000","55000"
SX76,"275000","65000"
SX77,"275000","75000"
SX78,"275000","85000"
SX79,"275000","95000"
SS70,"275000","105000"
SS71,"275000","115000"
SS72,"275000","125000"
SS73,"275000","135000"
SS74,"275000","145000"
SS75,"275000","155000"
SS77,"275000","175000"
SS78,"275000","185000"
SS79,"275000","195000"
SN70,"275000","205000"
SN71,"275000","215000"
SN72,"275000","225000"
SN73,"275000","235000"
SN74,"275000","245000"
SN75,"275000","255000"
SN76,"275000","265000"
SN77,"275000","275000"
SN78,"275000","285000"
SN79,"275000","295000"
SH70,"275000","305000"
SH71,"275000","315000"
SH72,"275000","325000"
SH73,"275000","335000"
SH74,"275000","345000"
SH75,"275000","355000"
SH76,"275000","365000"
SH77,"275000","375000"
SH78,"275000","385000"
NX74,"275000","545000"
NX75,"275000","555000"
NX76,"275000","565000"
NX77,"275000","575000"
NX78,"275000","585000"
NX79,"275000","595000"
NS70,"275000","605000"
NS71,"275000","615000"
NS72,"275000","625000"
NS73,"275000","635000"
NS74,"275000","645000"
NS75,"275000","655000"
NS76,"275000","665000"
NS77,"275000","675000"
NS78,"275000","685000"
NS79,"275000","695000"
NN70,"275000","705000"
NN71,"275000","715000"
NN72,"275000","725000"
NN73,"275000","735000"
NN74,"275000","745000"
NN75,"275000","755000"
NN76,"275000","765000"
NN77,"275000","775000"
NN78,"275000","785000"
NN79,"275000","795000"
NH70,"275000","805000"
NH71,"275000","815000"
NH72,"275000","825000"
NH73,"275000","835000"
NH74,"275000","845000"
NH75,"275000","855000"
NH76,"275000","865000"
NH77,"275000","875000"
NH78,"275000","885000"
NH79,"275000","895000"
NC70,"275000","905000"
NC71,"275000","915000"
NC72,"275000","925000"
NC73,"275000","935000"
NC74,"275000","945000"
NC75,"275000","955000"
NC76,"275000","965000"
SX83,"285000","35000"
SX84,"285000","45000"
SX85,"285000","55000"
SX86,"285000","65000"
SX87,"285000","75000"
SX88,"285000","85000"
SX89,"285000","95000"
SS80,"285000","105000"
SS81,"285000","115000"
SS82,"285000","125000"
SS83,"285000","135000"
SS84,"285000","145000"
SS85,"285000","155000"
SS86,"285000","165000"
SS87,"285000","175000"
SS88,"285000","185000"
SS89,"285000","195000"
SN80,"285000","205000"
SN81,"285000","215000"
SN82,"285000","225000"
SN83,"285000","235000"
SN84,"285000","245000"
SN85,"285000","255000"
SN86,"285000","265000"
SN87,"285000","275000"
SN88,"285000","285000"
SN89,"285000","295000"
SH80,"285000","305000"
SH81,"285000","315000"
SH82,"285000","325000"
SH83,"285000","335000"
SH84,"285000","345000"
SH85,"285000","355000"
SH86,"285000","365000"
SH87,"285000","375000"
SH88,"285000","385000"
NX84,"285000","545000"
NX85,"285000","555000"
NX86,"285000","565000"
NX87,"285000","575000"
NX88,"285000","585000"
NX89,"285000","595000"
NS80,"285000","605000"
NS81,"285000","615000"
NS82,"285000","625000"
NS83,"285000","635000"
NS84,"285000","645000"
NS85,"285000","655000"
NS86,"285000","665000"
NS87,"285000","675000"
NS88,"285000","685000"
NS89,"285000","695000"
NN80,"285000","705000"
NN81,"285000","715000"
NN82,"285000","725000"
NN83,"285000","735000"
NN84,"285000","745000"
NN85,"285000","755000"
NN86,"285000","765000"
NN87,"285000","775000"
NN88,"285000","785000"
NN89,"285000","795000"
NH80,"285000","805000"
NH81,"285000","815000"
NH82,"285000","825000"
NH83,"285000","835000"
NH84,"285000","845000"
NH85,"285000","855000"
NH86,"285000","865000"
NH87,"285000","875000"
NH88,"285000","885000"
NH89,"285000","895000"
NC80,"285000","905000"
NC81,"285000","915000"
NC82,"285000","925000"
NC83,"285000","935000"
NC84,"285000","945000"
NC85,"285000","955000"
NC86,"285000","965000"
NC87,"285000","975000"
SX94,"295000","45000"
SX95,"295000","55000"
SX96,"295000","65000"
SX97,"295000","75000"
SX98,"295000","85000"
SX99,"295000","95000"
SS90,"295000","105000"
SS91,"295000","115000"
SS92,"295000","125000"
SS93,"295000","135000"
SS94,"295000","145000"
SS95,"295000","155000"
SS96,"295000","165000"
SS97,"295000","175000"
SS98,"295000","185000"
SS99,"295000","195000"
SN90,"295000","205000"
SN91,"295000","215000"
SN92,"295000","225000"
SN93,"295000","235000"
SN94,"295000","245000"
SN95,"295000","255000"
SN96,"295000","265000"
SN97,"295000","275000"
SN98,"295000","285000"
SN99,"295000","295000"
SH90,"295000","305000"
SH91,"295000","315000"
SH92,"295000","325000"
SH93,"295000","335000"
SH94,"295000","345000"
SH95,"295000","355000"
SH96,"295000","365000"
SH97,"295000","375000"
SH98,"295000","385000"
NX90,"295000","505000"
NX91,"295000","515000"
NX92,"295000","525000"
NX93,"295000","535000"
NX95,"295000","555000"
NX96,"295000","565000"
NX97,"295000","575000"
NX98,"295000","585000"
NX99,"295000","595000"
NS90,"295000","605000"
NS91,"295000","615000"
NS92,"295000","625000"
NS93,"295000","635000"
NS94,"295000","645000"
NS95,"295000","655000"
NS96,"295000","665000"
NS97,"295000","675000"
NS98,"295000","685000"
NS99,"295000","695000"
NN90,"295000","705000"
NN91,"295000","715000"
NN92,"295000","725000"
NN93,"295000","735000"
NN94,"295000","745000"
NN95,"295000","755000"
NN96,"295000","765000"
NN97,"295000","775000"
NN98,"295000","785000"
NN99,"295000","795000"
NH90,"295000","805000"
NH91,"295000","815000"
NH92,"295000","825000"
NH93,"295000","835000"
NH94,"295000","845000"
NH95,"295000","855000"
NH96,"295000","865000"
