gr,freq
SP56,12
SP57,9
SP58,5
SP54,3
SP59,9
SP52,3
SP60,4
SP66,8
SP67,6
SP61,2
SP68,2
SP63,3
SP65,2
SP69,2
SP64,1
SP70,6
SP71,10
SP73,8
SP75,13
SP76,15
SP77,2
SP78,4
SP72,1
SP74,2
SP79,1
SP80,10
SP81,12
SP82,3
SP83,16
SP84,14
SP86,13
SP88,7
SP85,4
SP87,8
SP89,3
SP90,1
SP91,4
SP92,6
SP93,6
SP95,2
SP96,5
SP98,3
SP97,3
SP99,7
SP94,1
SR89,3
SR99,7
SS09,2
SS19,6
SS14,5
SS10,3
SS11,2
SS20,6
SS21,5
SS22,6
SS32,2
SS38,1
SS39,1
SS42,9
SS49,9
SS48,7
SS43,10
SS44,7
SS41,1
SS52,1
SS53,5
SS54,8
SS58,8
SS59,7
SS63,2
SS68,3
SS69,16
SS64,3
SS62,2
SS72,5
SS74,3
SS79,13
SS78,8
SS70,1
SS77,1
SS82,5
SS84,6
SS88,7
SS89,1
SS81,3
SS87,2
SS91,7
SS94,9
SS97,4
SS98,6
SS96,2
SS90,2
ST01,8
ST04,9
ST07,5
ST08,8
ST00,5
ST03,1
ST06,4
ST09,4
ST11,5
ST13,10
ST14,4
ST18,9
ST16,4
ST17,5
ST12,9
ST10,3
ST19,2
ST22,16
ST23,8
ST27,1
ST28,8
ST29,6
ST26,2
ST24,1
ST21,3
ST25,2
ST31,12
ST32,6
ST33,15
ST34,16
ST36,9
ST39,4
ST38,4
ST30,1
ST35,13
ST41,10
ST43,11
ST45,12
ST46,9
ST47,13
ST48,4
ST49,2
ST42,3
ST40,1
ST44,1
ST52,14
ST53,6
ST54,9
ST56,10
ST57,20
ST59,6
ST51,9
ST58,13
ST55,5
ST62,6
ST66,14
ST67,18
ST68,17
ST63,1
ST65,8
ST64,5
ST69,6
ST72,5
ST75,4
ST76,14
ST77,12
ST78,7
ST79,6
ST71,1
ST73,4
ST74,2
ST83,5
ST84,3
ST85,7
ST86,5
ST88,1
ST89,4
ST87,1
ST93,7
ST96,8
ST97,7
ST94,2
ST91,1
SU03,7
SU07,1
SU06,2
SU09,2
SU00,2
SU04,4
SU08,4
SU10,12
SU14,7
SU18,10
SU17,1
SU12,7
SU13,5
SU16,2
SU11,2
SU20,6
SU24,7
SU25,3
SU29,5
SU22,2
SU23,3
SU28,3
SU21,7
SU27,1
SU30,7
SU31,19
SU34,13
SU36,4
SU37,8
SU39,6
SU32,5
SU40,12
SU41,19
SU44,12
SU46,12
SU47,10
SU49,12
SU42,12
SU43,8
SU45,6
SU48,5
SU50,16
SU51,6
SU53,5
SU54,11
SU56,8
SU57,6
SU59,7
SU52,3
SU55,7
SU60,10
SU64,4
SU65,11
SU66,7
SU67,11
SU69,1
SU63,1
SU68,2
SU70,6
SU75,15
SU76,14
SU71,1
SU73,7
SU77,12
SU72,9
SU74,4
SU79,3
SU78,1
SU80,3
SU83,5
SU85,21
SU87,13
SU89,12
SU84,11
SU88,12
SU86,11
SU93,3
SU94,15
SU96,23
SU97,18
SU98,9
SU99,10
SU95,15
SU92,1
SV80,5
SV81,7
SV91,9
SV90,1
SW32,11
SW33,8
SW42,10
SW43,13
SW44,2
SW53,12
SW54,4
SW52,6
SW62,15
SW63,7
SW64,16
SW61,9
SW65,1
SW71,12
SW72,5
SW74,14
SW75,12
SW73,9
SW76,3
SW82,2
SW83,18
SW85,14
SW86,14
SW84,8
SW87,12
SW93,6
SW94,6
SW95,8
SW96,6
SW97,19
SW98,4
SX03,1
SX04,10
SX05,14
SX06,10
SX08,8
SX09,2
SX07,1
SX15,10
SX16,2
SX18,2
SX19,9
SX17,3
SX25,14
SX29,1
SX26,7
SX28,6
SX27,1
SX35,15
SX36,7
SX38,8
SX37,1
SX45,21
SX48,5
SX44,4
SX46,8
SX54,8
SX55,8
SX56,3
SX59,2
SX64,10
SX65,7
SX69,3
SX63,3
SX73,9
SX74,3
SX75,1
SX79,5
SX76,7
SX77,3
SX83,3
SX84,9
SX85,8
SX86,8
SX89,8
SX87,16
SX88,3
SX94,1
SX95,6
SX96,6
SX97,8
SX98,16
SX99,14
SY07,2
SY08,6
SY09,4
SY19,1
SY18,1
SY28,3
SY29,2
SY39,3
SY49,5
SY58,1
SY68,2
SY67,8
SY66,2
SY77,1
SY79,1
SY78,1
SY87,1
SY98,8
SY97,4
SZ07,4
SZ08,8
SZ09,7
SZ19,19
SZ29,13
SZ28,1
SZ38,7
SZ39,9
SZ49,5
SZ48,2
SZ59,10
SZ57,1
SZ69,8
SZ68,1
SZ79,5
SZ89,2
T00,7
T02,6
T01,2
T10,9
T11,5
T12,4
T15,1
T25,1
T24,2
T39,1
TA00,3
TA03,10
