"gr","freq"
"G77A",3
"G77D",3
"G77H",1
"G77L",3
"G77N",1
"G77P",4
"G77Y",1
"G78E",2
"G78R",2
"G78V",1
"G78X",1
"G79A",1
"G79C",2
"G79E",1
"G79F",2
"G79Z",3
"G80F",2
"G80H",1
"G80I",1
"G80L",3
"G80M",2
"G80S",2
"G80T",2
"G80U",1
"G80V",2
"G81A",1
"G81B",7
"G81C",2
"G81D",1
"G81E",2
"G81F",2
"G81G",5
"G81P",1
"G81T",1
"G81U",1
"G81W",1
"G81Y",2
"G82A",1
"G82B",4
"G82C",1
"G82D",1
"G82E",3
"G82G",1
"G82H",1
"G82I",1
"G82J",1
"G82N",1
"G82P",1
"G82Q",2
"G82T",3
"G82U",1
"G82Y",1
"G82Z",4
"G83A",1
"G83B",1
"G83C",4
"G83D",4
"G83E",1
"G83F",2
"G83G",1
"G83H",1
"G83I",2
"G83J",1
"G83K",1
"G83L",1
"G83M",2
"G83N",1
"G83P",5
"G83Q",2
"G83S",2
"G83T",2
"G83U",4
"G83V",1
"G83Y",4
"G83Z",4
"G84A",1
"G84B",1
"G84F",3
"G84H",4
"G84I",1
"G84K",4
"G84L",3
"G84M",1
"G84Q",4
"G84R",3
"G84V",4
"G84X",3
"G84Z",1
"G85A",2
"G85B",2
"G85C",2
"G85D",1
"G85G",1
"G85H",1
"G85I",2
"G85L",1
"G85M",3
"G85N",1
"G85Q",1
"G85R",3
"G85S",2
"G85T",1
"G85W",2
"G85X",4
"G85Y",3
"G86G",1
"G86Q",3
"G86U",2
"G86Z",1
"G87M",2
"G87U",1
"G87V",1
"G87W",4
"G87Y",1
"G87Z",1
"G88F",1
"G88L",1
"G88R",1
"G90F",2
"G90K",2
"G90L",2
"G90M",4
"G90P",1
"G90Q",2
"G90R",3
"G90S",1
"G90T",1
"G90U",1
"G90X",5
"G90Y",2
"G90Z",1
"G91J",1
"G91L",2
"G91M",1
"G91P",2
"G91Q",8
"G91R",4
"G91T",4
"G91V",2
"G91Z",1
"G92A",5
"G92B",2
"G92C",2
"G92D",1
"G92E",1
"G92I",1
"G92J",1
"G92R",1
"G92S",4
"G92V",1
"G92W",3
"G92Y",1
"G92Z",1
"G93A",2
"G93B",1
"G93E",1
"G93J",3
"G93M",2
"G93P",1
"G93Q",2
"G93S",1
"G93U",1
"G93V",1
"G93X",1
"G93Y",1
"G93Z",1
"G94A",1
"G94B",1
"G94C",4
"G94D",1
"G94E",2
"G94F",1
"G94G",4
"G94H",1
"G94I",1
"G94J",5
"G94K",1
"G94L",1
"G94M",1
"G94N",2
"G94P",2
"G94S",2
"G94T",1
"G94U",2
"G94W",2
"G94X",2
"G94Z",3
"G95A",2
"G95B",1
"G95C",3
"G95D",2
"G95F",2
"G95G",2
"G95H",1
"G95I",3
"G95J",3
"G95K",1
"G95M",1
"G95N",1
"G95P",1
"G95Q",4
"G95S",1
"G95T",1
"G95U",1
"G95X",3
"G95Y",2
"G95Z",3
"G96A",1
"G96D",2
"G96I",1
"G96J",1
"G96Q",3
"G96V",2
"G96X",1
"G97B",1
"G97C",1
"G97J",1
"G97L",1
"G97Q",1
"G97R",1
"G97V",1
"G97X",1
"G98A",2
"G98C",1
"G98H",2
"G98J",1
"G98M",2
"G98R",1
"G98S",3
"G98T",2
"G98W",1
"G98Z",1
"G99G",1
"H00B",1
"H00C",1
"H00D",3
"H00E",1
"H00F",2
"H00I",3
"H00J",6
"H00L",1
"H00P",4
"H00X",1
"H00Y",1
"H00Z",2
"H01B",2
"H01F",2
"H01G",1
"H01I",2
"H01K",1
"H01L",1
"H01P",1
"H01Q",1
"H01T",1
"H01V",4
"H01X",1
"H02B",2
"H02C",2
"H02D",1
"H02E",1
"H02G",2
"H02H",2
"H02P",1
"H02S",2
"H02Y",1
"H03D",2
"H03E",1
"H03I",2
"H03J",11
"H03N",1
"H03P",2
"H03S",1
"H03T",1
"H03U",4
"H03W",1
"H03X",4
"H03Y",2
"H03Z",3
"H04A",2
"H04B",4
